candidate,window,cost,pair,open_date,close_date,is_short,stake_amount,leverage,open_rate,close_rate,profit_abs,profit_ratio,fee_open,fee_close,funding_fees,exit_reason,trade_duration,initial_stop_loss_ratio,is_open,entry_orders
btc-volatility-15m-1h-risk,early,base,BTC/USDT:USDT,2026-03-16 04:00:00+00:00,2026-03-18 04:00:00+00:00,False,2471.2128,1.0,73548.0,74414.9,25.64775259,0.010371349534040428,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
btc-volatility-15m-1h-risk,early,base,BTC/USDT:USDT,2026-03-18 12:00:00+00:00,2026-03-20 12:00:00+00:00,True,2479.059,1.0,72913.5,70445.0,80.5170677,0.03250163434125201,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
btc-volatility-15m-1h-risk,early,base,BTC/USDT:USDT,2026-03-22 00:00:00+00:00,2026-03-23 11:06:00+00:00,True,2493.79266,1.0,68889.3,70267.0,-53.39896064,-0.021427750170805053,0.0007,0.0007,0.0,stop_loss,2106,-0.02,False,1
btc-volatility-15m-1h-risk,early,base,BTC/USDT:USDT,2026-03-23 12:00:00+00:00,2026-03-25 12:00:00+00:00,False,2481.53646,1.0,70099.9,71643.6,51.13457607,0.0205916002963609,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
btc-volatility-15m-1h-risk,early,base,BTC/USDT:USDT,2026-03-27 11:00:00+00:00,2026-03-29 11:00:00+00:00,True,2498.60272,1.0,66452.2,66473.2,-4.28819653,-0.0017174400459546372,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
btc-volatility-15m-1h-risk,early,base,BTC/USDT:USDT,2026-03-29 23:00:00+00:00,2026-03-30 02:45:00+00:00,True,2494.5022,1.0,65818.0,67134.3,-53.41499452,-0.021428087418742504,0.0007,0.0007,0.0,stop_loss,225,-0.02,False,1
btc-volatility-15m-1h-risk,early,base,BTC/USDT:USDT,2026-04-02 02:00:00+00:00,2026-04-04 02:00:00+00:00,True,2484.35523,1.0,67326.7,66824.6,15.06236192,0.00606713274215272,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
btc-volatility-15m-1h-risk,early,base,BTC/USDT:USDT,2026-04-05 23:00:00+00:00,2026-04-07 11:00:00+00:00,False,2486.87348,1.0,68320.7,68199.3,-7.8974896,-0.0031734486244724283,0.0007,0.0007,0.0,exit_signal,2160,-0.02,False,1
btc-volatility-15m-1h-risk,early,base,BTC/USDT:USDT,2026-04-07 11:00:00+00:00,2026-04-07 21:05:00+00:00,True,2482.45452,1.0,68199.3,69563.2,-53.1561485,-0.021427737523549113,0.0007,0.0007,0.0,stop_loss,605,-0.02,False,1
btc-volatility-15m-1h-risk,early,base,BTC/USDT:USDT,2026-04-07 23:00:00+00:00,2026-04-09 23:00:00+00:00,False,2473.1734,1.0,71479.0,71911.1,11.47775178,0.004637654187093496,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
btc-volatility-15m-1h-risk,early,base,BTC/USDT:USDT,2026-04-12 02:00:00+00:00,2026-04-13 15:00:00+00:00,True,2477.70254,1.0,71609.9,72347.0,-28.99029612,-0.01170867086509898,0.0007,0.0007,0.0,exit_signal,2220,-0.02,False,1
btc-volatility-15m-1h-risk,early,base,BTC/USDT:USDT,2026-04-13 15:00:00+00:00,2026-04-15 15:00:00+00:00,False,2467.0327,1.0,72347.0,74111.0,56.65644754,0.022949357650979545,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
btc-volatility-15m-1h-risk,early,base,BTC/USDT:USDT,2026-04-16 14:00:00+00:00,2026-04-16 19:41:00+00:00,True,2478.0,1.0,73750.0,75225.0,-53.063892,-0.021429000300210145,0.0007,0.0007,0.0,stop_loss,341,-0.02,False,1
btc-volatility-15m-1h-risk,early,base,BTC/USDT:USDT,2026-04-17 14:00:00+00:00,2026-04-18 11:40:00+00:00,False,2465.86681,1.0,77299.9,75754.0,-52.73190359,-0.021369774257209522,0.0007,0.0007,0.0,stop_loss,1300,-0.02,False,1
btc-volatility-15m-1h-risk,early,base,BTC/USDT:USDT,2026-04-22 03:00:00+00:00,2026-04-24 03:00:00+00:00,False,2451.53432,1.0,77580.2,78092.3,12.7388843,0.005192655560570299,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
btc-volatility-15m-1h-risk,early,base,BTC/USDT:USDT,2026-04-27 06:00:00+00:00,2026-04-29 06:00:00+00:00,True,2456.58716,1.0,77740.1,77244.9,12.2200518,0.004977886405740147,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
btc-volatility-15m-1h-risk,early,base,BTC/USDT:USDT,2026-05-01 14:00:00+00:00,2026-05-03 14:00:00+00:00,False,2463.21923,1.0,78697.1,78638.2,-5.29078642,-0.002146412871329311,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
btc-volatility-15m-1h-risk,early,base,BTC/USDT:USDT,2026-05-04 00:00:00+00:00,2026-05-04 02:00:00+00:00,True,2458.02343,1.0,78531.1,79754.9,-41.77298626,-0.017006448076649718,0.0007,0.0007,0.0,exit_signal,120,-0.02,False,1
