open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base,taker_buy_quote,ignore,timestamp
1530806400000,6614.79,6639.97,6453.33,6510.32,7216.658047,1530820799999,47187536.12965245,42726,3685.59423100,24114479.42236921,0,1530806400
1530820800000,6509.86,6563.76,6476.99,6529.2,4727.45953,1530835199999,30781001.92823545,29501,2849.16269700,18551946.35587376,0,1530820800
1530835200000,6529.2,6553.0,6511.0,6530.0,4120.321071,1530849599999,26906727.16269791,24305,2337.06150500,15262903.67557848,0,1530835200
1530849600000,6530.0,6533.63,6425.0,6478.85,5824.504486,1530863999999,37783318.74334307,37316,3043.07875500,19745764.31591853,0,1530849600
1530864000000,6478.99,6548.0,6472.1,6526.56,5275.782455,1530878399999,34354644.64751738,32050,3069.14360900,19984326.35044388,0,1530864000
1530878400000,6526.42,6648.54,6525.93,6565.01,5539.833967,1530892799999,36389343.79465585,44574,3011.28274100,19779091.09185787,0,1530878400
1530892800000,6564.66,6629.0,6512.46,6570.01,4697.546046,1530907199999,30860050.92397448,34837,2453.60062200,16122366.22186446,0,1530892800
1530907200000,6570.01,6630.0,6555.0,6609.78,3939.106723,1530921599999,25936818.40380344,20772,2378.77792500,15665757.43882707,0,1530907200
1530921600000,6609.79,6613.99,6561.01,6599.99,3182.384721,1530935999999,20963322.12423882,20589,1718.35056000,11320371.10321694,0,1530921600
1530936000000,6599.45,6618.8,6561.01,6589.93,2738.944336,1530950399999,18057711.61948518,18159,1325.43526600,8739339.39851890,0,1530936000
1530950400000,6591.78,6592.07,6555.0,6584.79,3539.813985,1530964799999,23285198.09842713,17905,2138.58812500,14070401.19490675,0,1530950400
1530964800000,6584.79,6614.0,6511.44,6558.03,4423.57719,1530979199999,28991544.62576540,28701,2068.37857200,13559774.91215398,0,1530964800
1530979200000,6558.03,6573.94,6525.01,6537.84,3297.350253,1530993599999,21601370.41385105,19265,1864.46389900,12214583.96068423,0,1530979200
1530993600000,6537.84,6818.16,6508.88,6756.98,6791.806401,1531007999999,45135008.29602385,40830,3779.60715700,25099763.90789224,0,1530993600
1531008000000,6753.48,6780.0,6716.0,6718.9,5207.16741,1531022399999,35125278.72317232,31575,2892.36432000,19511148.17055878,0,1531008000
1531022400000,6717.01,6741.18,6708.0,6739.19,3107.493488,1531036799999,20908533.60507190,21234,1538.44497700,10352020.26183654,0,1531022400
1531036800000,6739.18,6745.49,6717.01,6735.43,3799.062547,1531051199999,25574492.70441352,20144,2310.17386500,15551899.15882301,0,1531036800
1531051200000,6738.78,6778.73,6711.0,6740.93,4473.471999,1531065599999,30158295.59989767,27008,2463.17743400,16605970.56081544,0,1531051200
1531065600000,6740.93,6773.52,6739.93,6765.18,3101.480767,1531079999999,20961911.53597387,19625,1595.38084700,10783058.40244594,0,1531065600
1531080000000,6765.17,6774.85,6667.44,6712.1,4934.271583,1531094399999,33212839.62983081,25763,2347.09119900,15809165.21777676,0,1531080000
1531094400000,6712.1,6729.18,6677.31,6717.28,4114.952797,1531108799999,27582099.93063088,20545,2266.29585800,15191045.17908300,0,1531094400
1531108800000,6717.28,6748.27,6682.0,6725.0,3414.463368,1531123199999,22902235.18345779,18537,1954.14633800,13107200.18797596,0,1531108800
1531123200000,6726.99,6752.62,6657.02,6718.01,4660.852912,1531137599999,31255959.41850395,22743,2530.62141500,16971320.92843419,0,1531123200
1531137600000,6718.02,6745.0,6696.99,6726.0,4019.660913,1531151999999,27022268.48875187,22629,2454.39295400,16500415.22307475,0,1531137600
1531152000000,6726.0,6727.99,6660.0,6709.0,4248.27825,1531166399999,28457128.06111885,26356,2056.96954100,13782615.50734159,0,1531152000
1531166400000,6709.68,6802.06,6612.24,6662.12,6274.19831,1531180799999,42030882.58402200,36505,3121.70937100,20937797.61432232,0,1531166400
1531180800000,6662.78,6681.0,6606.11,6632.22,5068.925407,1531195199999,33691918.45970215,26357,2737.86226400,18200385.65795135,0,1531180800
1531195200000,6632.14,6655.46,6544.04,6601.17,4874.001857,1531209599999,32215278.87454660,27696,2432.03694000,16083215.44235610,0,1531195200
1531209600000,6601.17,6617.0,6327.0,6365.06,11525.551648,1531223999999,74479549.89279539,49466,5225.84399000,33795985.12008039,0,1531209600
1531224000000,6365.06,6403.83,6325.99,6383.7,7754.397129,1531238399999,49392387.89515018,37575,4062.17939700,25880342.54485354,0,1531224000
1531238400000,6386.97,6413.97,6334.56,6376.13,4408.191044,1531252799999,28072387.96678528,21424,2481.96943100,15805344.56300180,0,1531238400
1531252800000,6376.13,6404.77,6263.0,6296.91,4929.605617,1531267199999,31248237.10077009,27395,2321.24383700,14725171.37061222,0,1531252800
